epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.00423,1.07118,2.9926,1.56938,0.00737,1,0.83437,0.64523,0.52388,3.15692,1.23653,0.00015003,0.00015003,0.00015003
2,4.80611,0.89158,2.43106,1.40479,0.00733,1,0.93786,0.67507,0.5098,2.88182,1.14754,0.000313594,0.000313594,0.000313594
3,6.59418,0.8025,1.97528,1.32287,0.00733,1,0.76629,0.53219,0.5835,2.94187,1.35014,0.000473858,0.000473858,0.000473858
4,8.36435,0.84331,1.69093,1.38085,1,0.48621,0.955,0.72742,0.61669,2.65707,1.32227,0.000630821,0.000630821,0.000630821
5,10.1907,0.91012,1.65974,1.42,0.58412,0.48452,0.72599,0.39157,0.98738,2.65915,1.68124,0.000784484,0.000784484,0.000784484
6,11.9726,0.86188,1.50545,1.37473,0.82481,0.87169,0.86978,0.50728,1.10392,2.85691,2.13851,0.000934845,0.000934845,0.000934845
7,13.7243,0.86342,1.35801,1.37064,0.88243,0.80765,0.92205,0.61024,1.10199,2.02335,2.02364,0.00108191,0.00108191,0.00108191
8,15.4753,0.90189,1.36604,1.40466,0.89264,1,0.97833,0.60527,1.12393,1.74537,2.19715,0.00122567,0.00122567,0.00122567
9,17.2043,0.99702,1.37752,1.50716,0.8937,0.69799,0.7893,0.49049,1.57281,2.18984,2.38995,0.00136613,0.00136613,0.00136613
10,18.9344,1.00355,1.33279,1.47501,0.86545,0.90098,0.91529,0.54909,1.21409,2.19533,2.2634,0.00150329,0.00150329,0.00150329
11,20.6875,0.94027,1.26924,1.41936,0.90155,0.99084,0.995,0.61921,1.14072,1.83257,2.07442,0.00150197,0.00150197,0.00150197
12,22.3944,0.90193,1.14914,1.37782,0.88879,0.81667,0.88979,0.44762,1.57215,1.98519,2.62635,0.00148546,0.00148546,0.00148546
13,24.1083,0.83883,1.10029,1.32569,0.93764,0.88796,0.91642,0.55255,1.13651,2.53899,2.06121,0.00146896,0.00146896,0.00146896
14,25.8443,0.85892,1.13304,1.40944,0.71191,0.63333,0.76778,0.55136,1.01043,2.10263,1.85106,0.00145246,0.00145246,0.00145246
15,27.6089,0.9266,1.21264,1.42596,0.87558,0.82372,0.91573,0.65088,0.99613,1.77834,1.79629,0.00143595,0.00143595,0.00143595
16,29.3218,0.9044,1.22208,1.38036,0.90831,0.91667,0.91626,0.62285,1.05823,2.0908,1.92976,0.00141945,0.00141945,0.00141945
17,31.0795,0.9814,1.23709,1.4622,0.72435,0.95209,0.96167,0.50443,1.519,2.45658,2.52262,0.00140295,0.00140295,0.00140295
18,32.8621,0.91291,1.149,1.34136,0.98801,0.91667,0.92108,0.28428,1.95817,2.3241,2.8704,0.00138644,0.00138644,0.00138644
19,34.6164,0.85049,1.07341,1.33522,0.95841,0.91667,0.93786,0.38835,1.56459,2.88365,2.33532,0.00136994,0.00136994,0.00136994
20,36.3303,0.82242,1.00588,1.33743,0.88871,0.91667,0.947,0.50198,1.18524,2.9084,1.99635,0.00135344,0.00135344,0.00135344
21,38.0693,0.81043,1.05124,1.28838,0.79252,0.82056,0.88949,0.50618,1.15598,2.4126,2.06154,0.00133693,0.00133693,0.00133693
22,39.7961,0.86779,1.03499,1.33502,0.95493,0.90995,0.91529,0.69614,0.92773,1.17324,1.85662,0.00132043,0.00132043,0.00132043
23,41.5316,0.79827,1.04416,1.31167,0.97707,0.91667,0.963,0.73905,0.87252,1.14844,1.84884,0.00130393,0.00130393,0.00130393
24,43.266,0.80793,0.97995,1.29313,0.89877,1,0.98357,0.64668,1.19221,2.07409,2.21802,0.00128742,0.00128742,0.00128742
25,44.9945,0.84434,0.98415,1.35652,0.7299,0.73333,0.7849,0.45706,1.50737,2.71777,2.69421,0.00127092,0.00127092,0.00127092
26,46.7566,0.77234,0.9442,1.27968,0.9465,0.91667,0.975,0.68225,1.14685,1.32846,2.26909,0.00125442,0.00125442,0.00125442
27,48.4739,0.79468,0.94248,1.29363,0.9094,0.91667,0.955,0.66263,1.07242,1.33579,1.98197,0.00123791,0.00123791,0.00123791
28,50.1919,0.77129,0.9197,1.29599,0.90546,0.99512,0.94786,0.61459,1.16182,1.54446,2.26745,0.00122141,0.00122141,0.00122141
29,51.9301,0.91009,1.01824,1.45237,0.88731,0.91667,0.93083,0.557,1.18607,1.86804,2.19446,0.00120491,0.00120491,0.00120491
30,53.6702,0.81474,0.9943,1.31033,0.91372,0.90795,0.96833,0.67447,0.97363,1.48537,1.8525,0.0011884,0.0011884,0.0011884
31,55.3805,0.81734,0.93068,1.30473,0.97694,0.90919,0.95192,0.69531,0.92513,1.43152,1.77852,0.0011719,0.0011719,0.0011719
32,57.1403,0.8232,0.98484,1.3085,0.89737,0.91667,0.91575,0.71568,0.9655,1.23262,1.87216,0.0011554,0.0011554,0.0011554
33,58.8601,0.7308,0.90088,1.21981,0.97103,0.91667,0.93346,0.65518,0.96088,1.20358,1.85165,0.00113889,0.00113889,0.00113889
34,60.6103,0.77182,0.91677,1.26456,0.98094,0.91667,0.95864,0.71811,0.96876,1.02467,1.901,0.00112239,0.00112239,0.00112239
35,62.3421,0.77947,0.84923,1.23039,0.96429,0.96233,0.995,0.70651,1.05331,1.06822,1.95072,0.00110589,0.00110589,0.00110589
36,64.0829,0.77605,0.81347,1.25799,0.9877,0.91667,0.98357,0.71979,0.99688,0.99389,1.88958,0.00108938,0.00108938,0.00108938
37,65.8042,0.74892,0.83287,1.27709,0.98304,0.91667,0.96833,0.7111,0.95578,0.93188,1.90139,0.00107288,0.00107288,0.00107288
38,67.542,0.71867,0.95097,1.18768,0.95916,0.91667,0.91771,0.72923,0.85349,1.00005,1.85564,0.00105638,0.00105638,0.00105638
39,69.2604,0.76242,0.85361,1.24197,0.93813,0.91667,0.92567,0.72232,0.85793,1.01914,1.82771,0.00103987,0.00103987,0.00103987
40,70.9844,0.67843,0.8126,1.1935,0.93862,0.91667,0.91573,0.71009,0.91681,1.10996,1.8199,0.00102337,0.00102337,0.00102337
41,72.6921,0.68586,0.76822,1.18822,0.73898,0.90888,0.84104,0.62076,1.06807,1.40907,1.89083,0.00100687,0.00100687,0.00100687
42,74.422,0.75011,0.83305,1.26489,0.98774,0.91667,0.93155,0.73188,0.93471,1.06137,1.85896,0.000990365,0.000990365,0.000990365
43,76.1503,0.69812,0.78199,1.22609,0.98634,0.91667,0.92871,0.75742,0.80888,0.89742,1.73037,0.000973861,0.000973861,0.000973861
44,77.8734,0.69787,0.82432,1.23786,0.98692,0.91667,0.947,0.71578,0.89199,0.90793,1.81533,0.000957358,0.000957358,0.000957358
45,79.6303,0.73922,0.76086,1.19947,0.99011,0.91667,0.93,0.70706,0.90383,0.88506,1.81675,0.000940855,0.000940855,0.000940855
46,81.3502,0.73497,0.80801,1.28054,0.95994,0.91667,0.98357,0.76374,0.83789,1.06191,1.67027,0.000924352,0.000924352,0.000924352
47,83.0902,0.71188,0.77007,1.25768,0.96144,0.91667,0.91607,0.72427,0.99328,1.13065,1.90634,0.000907848,0.000907848,0.000907848
48,84.8289,0.72363,0.80171,1.25266,0.98432,0.91667,0.91571,0.734,1.00672,1.06436,1.90899,0.000891345,0.000891345,0.000891345
49,86.552,0.65111,0.77223,1.17265,0.95749,0.95817,0.995,0.76475,0.88945,0.92908,1.69662,0.000874842,0.000874842,0.000874842
50,88.2957,0.69197,0.78992,1.1955,0.97905,0.91667,0.963,0.77693,0.83422,0.9145,1.58296,0.000858338,0.000858338,0.000858338
51,90.0266,0.62502,0.72853,1.13317,0.98259,0.91667,0.975,0.76582,0.85475,0.86012,1.61833,0.000841835,0.000841835,0.000841835
52,91.7705,0.63098,0.71623,1.17812,0.98624,0.91667,0.91573,0.72731,0.88826,0.90024,1.6447,0.000825332,0.000825332,0.000825332
53,93.4802,0.68125,0.75777,1.20661,0.98959,0.91667,0.91586,0.66368,0.96824,0.99397,1.69795,0.000808828,0.000808828,0.000808828
54,95.2271,0.61197,0.71145,1.18239,0.98905,0.91667,0.9159,0.7393,0.75045,0.7514,1.42788,0.000792325,0.000792325,0.000792325
55,96.9301,0.64669,0.70078,1.13501,0.98592,0.91667,0.92406,0.76501,0.66455,0.77114,1.36011,0.000775822,0.000775822,0.000775822
56,98.6502,0.58368,0.73465,1.15233,0.98185,0.91667,0.91613,0.76182,0.64822,0.7779,1.3696,0.000759318,0.000759318,0.000759318
57,100.39,0.6318,0.6981,1.15247,0.9858,0.91667,0.91593,0.77212,0.66134,0.708,1.40154,0.000742815,0.000742815,0.000742815
58,102.148,0.64024,0.70429,1.16411,0.98765,0.91667,0.91567,0.77315,0.72054,0.7993,1.5206,0.000726312,0.000726312,0.000726312
59,103.94,0.62419,0.70866,1.14534,0.98203,0.91667,0.91567,0.77333,0.72768,0.88967,1.56874,0.000709809,0.000709809,0.000709809
60,105.66,0.58305,0.6459,1.10353,0.97786,0.91667,0.91567,0.78599,0.69249,0.82181,1.51709,0.000693305,0.000693305,0.000693305
61,107.395,0.56576,0.64067,1.11728,0.97826,0.91667,0.91566,0.78975,0.67335,0.84256,1.51337,0.000676802,0.000676802,0.000676802
62,109.175,0.57246,0.65159,1.09952,0.98488,0.91667,0.9157,0.77492,0.71025,0.8518,1.52722,0.000660299,0.000660299,0.000660299
63,110.881,0.58874,0.64603,1.13012,0.9854,0.91667,0.91571,0.76795,0.67426,0.72179,1.49177,0.000643795,0.000643795,0.000643795
64,112.612,0.5245,0.65266,1.12199,0.98621,0.91667,0.91597,0.7673,0.64932,0.62723,1.44953,0.000627292,0.000627292,0.000627292
65,114.325,0.61022,0.68333,1.1396,0.98362,0.91667,0.91607,0.76746,0.6581,0.61094,1.4581,0.000610789,0.000610789,0.000610789
66,116.041,0.58392,0.62134,1.16084,0.94078,0.91667,0.91573,0.76164,0.64852,0.71835,1.35332,0.000594286,0.000594286,0.000594286
67,117.764,0.54005,0.59726,1.08309,0.95241,0.91667,0.91579,0.76068,0.66682,0.73221,1.38754,0.000577782,0.000577782,0.000577782
68,119.501,0.60349,0.69689,1.15573,0.968,0.91667,0.91598,0.74058,0.7041,0.79858,1.47703,0.000561279,0.000561279,0.000561279
69,121.21,0.58037,0.65077,1.13079,0.9807,0.91667,0.91573,0.76145,0.72711,0.79552,1.51809,0.000544776,0.000544776,0.000544776
70,122.972,0.55233,0.62862,1.08166,0.98883,0.91667,0.91575,0.7759,0.8107,0.78751,1.71703,0.000528272,0.000528272,0.000528272
71,124.742,0.54377,0.63285,1.13251,0.98631,0.91667,0.91576,0.77833,0.7894,0.81246,1.66995,0.000511769,0.000511769,0.000511769
72,126.507,0.49741,0.59668,1.09757,0.99143,0.91667,0.91587,0.78117,0.80053,0.82754,1.63011,0.000495266,0.000495266,0.000495266
73,128.252,0.57107,0.65143,1.10575,0.98722,0.91667,0.91585,0.77118,0.79226,0.86977,1.58095,0.000478762,0.000478762,0.000478762
74,129.99,0.53262,0.59001,1.11763,0.97874,0.91667,0.9159,0.78966,0.71852,0.72876,1.4428,0.000462259,0.000462259,0.000462259
75,131.74,0.5184,0.57523,1.1183,0.98027,0.91667,0.91594,0.79117,0.69171,0.69291,1.42963,0.000445756,0.000445756,0.000445756
76,133.457,0.57375,0.61272,1.12857,0.9862,0.91667,0.91592,0.80166,0.69353,0.81099,1.48096,0.000429253,0.000429253,0.000429253
77,135.2,0.51027,0.56891,1.07622,0.98994,0.91667,0.91594,0.79677,0.67737,0.76624,1.48776,0.000412749,0.000412749,0.000412749
78,136.95,0.51795,0.58609,1.10759,0.98116,0.91667,0.91585,0.77335,0.76972,0.75031,1.60136,0.000396246,0.000396246,0.000396246
79,138.673,0.53766,0.57352,1.08995,0.97998,0.91667,0.91586,0.76534,0.78415,0.76767,1.60292,0.000379743,0.000379743,0.000379743
80,140.416,0.53959,0.58457,1.09311,0.98028,0.91667,0.91581,0.76336,0.77787,0.75198,1.59386,0.000363239,0.000363239,0.000363239
81,142.139,0.50761,0.58748,1.06415,0.98344,0.91667,0.91583,0.76576,0.75053,0.71182,1.56186,0.000346736,0.000346736,0.000346736
82,143.86,0.52616,0.56416,1.09142,0.98949,0.91667,0.91612,0.77834,0.71415,0.67843,1.5095,0.000330233,0.000330233,0.000330233
83,145.597,0.4765,0.53647,1.09214,0.98399,0.91667,0.91645,0.78686,0.69887,0.65942,1.48193,0.000313729,0.000313729,0.000313729
84,147.316,0.50774,0.54373,1.05679,0.97536,0.91667,0.91608,0.79534,0.69807,0.67725,1.47737,0.000297226,0.000297226,0.000297226
85,149.027,0.52674,0.54568,1.11075,0.96585,0.91667,0.91605,0.79533,0.70038,0.69098,1.48029,0.000280723,0.000280723,0.000280723
86,150.774,0.48721,0.53769,1.0955,0.96043,0.91492,0.91581,0.79527,0.66368,0.67633,1.41265,0.00026422,0.00026422,0.00026422
87,152.501,0.50762,0.58174,1.09444,0.95913,0.91478,0.91578,0.79522,0.65375,0.6876,1.41458,0.000247716,0.000247716,0.000247716
88,154.213,0.50487,0.54776,1.06932,0.9615,0.91593,0.91531,0.78385,0.67606,0.6823,1.46258,0.000231213,0.000231213,0.000231213
89,155.93,0.45123,0.51436,1.03967,0.96537,0.91667,0.91531,0.78148,0.68727,0.69442,1.4801,0.00021471,0.00021471,0.00021471
90,157.663,0.48908,0.54981,1.08108,0.97768,0.91667,0.91531,0.79141,0.70424,0.71576,1.49998,0.000198206,0.000198206,0.000198206
91,163.99,0.49276,0.91519,1.13842,0.98031,0.91667,0.91531,0.78148,0.70327,0.75744,1.50408,0.000181703,0.000181703,0.000181703
92,165.69,0.44709,0.64941,1.07708,0.97974,0.91667,0.9153,0.77295,0.68681,0.74522,1.46714,0.0001652,0.0001652,0.0001652
93,167.42,0.46625,0.68983,1.1749,0.97765,0.91667,0.9153,0.77295,0.68179,0.7612,1.43805,0.000148696,0.000148696,0.000148696
94,169.156,0.39494,0.57827,1.04992,0.97526,0.91667,0.9153,0.79143,0.67713,0.78109,1.41102,0.000132193,0.000132193,0.000132193
95,170.878,0.3979,0.54166,1.01813,0.96887,0.91667,0.9157,0.78101,0.6796,0.83455,1.40808,0.00011569,0.00011569,0.00011569
96,172.59,0.44954,0.61903,1.10072,0.95999,0.91667,0.91571,0.76603,0.6869,0.87652,1.41521,9.91865e-05,9.91865e-05,9.91865e-05
97,174.28,0.37235,0.55236,1.04325,0.95934,0.91667,0.91571,0.76603,0.68927,0.9055,1.4219,8.26832e-05,8.26832e-05,8.26832e-05
98,175.984,0.43506,0.62028,1.12241,0.95392,0.91667,0.91575,0.79314,0.68832,0.92245,1.43687,6.61799e-05,6.61799e-05,6.61799e-05
99,177.715,0.35168,0.53604,1.02686,0.9529,0.91667,0.91576,0.79319,0.68211,0.9172,1.43349,4.96766e-05,4.96766e-05,4.96766e-05
100,179.41,0.43605,0.58095,1.07229,0.9548,0.91667,0.91579,0.79807,0.67682,0.89663,1.42947,3.31733e-05,3.31733e-05,3.31733e-05
